timestamp,steps,bpm
2021-02-17 22,629,88
2021-02-17 23,8,69
2021-02-18 00,0,66
2021-02-18 02,0,63
2021-02-18 03,18,69
2021-02-18 04,14,71
2021-02-18 05,81,75
2021-02-18 07,389,82
2021-02-18 08,1911,94
2021-02-18 14,1272,90
2021-02-18 15,7,76
2021-02-18 18,110,84
2021-02-18 19,26,81
2021-02-18 21,310,73
2021-02-18 22,15,60
2021-02-18 23,10,61
2021-02-19 03,0,59
2021-02-19 04,9,60
2021-02-19 05,0,58
2021-02-19 07,223,79
2021-02-19 10,419,102
2021-02-19 11,1176,98
2021-02-19 12,663,105
2021-02-19 13,1108,102
2021-02-19 15,252,89
2021-02-19 18,329,76
2021-02-19 22,0,61
2021-02-20 00,0,56
2021-02-20 01,56,61
2021-02-20 07,78,59
2021-02-20 11,181,73
2021-02-21 07,42,57
2021-02-21 08,56,79
2021-02-21 13,84,77
2021-02-21 16,79,75
2021-02-21 17,498,93
2021-02-21 23,12,60
2021-02-22 00,0,57
2021-02-22 03,0,53
2021-02-22 06,512,73
2021-02-22 09,81,90
2021-02-22 10,542,90
2021-02-22 13,1698,97
2021-02-22 14,29,84
2021-02-22 17,38,74
2021-02-22 22,454,75
2021-02-22 23,0,60
2021-02-23 00,0,57
2021-02-23 01,0,55
2021-02-23 03,0,52
2021-02-23 04,0,59
2021-02-23 05,73,63
2021-02-23 08,1267,102
2021-02-23 10,28,80
2021-02-23 11,25,77
2021-02-23 14,161,84
2021-02-23 17,508,84
2021-02-23 20,285,90
2021-02-23 23,0,59
2021-02-24 00,0,55
2021-02-24 02,0,55
2021-02-24 07,702,90
2021-02-24 08,1503,103
2021-02-24 14,365,82
2021-02-24 15,190,78
2021-02-24 19,1601,91
2021-02-24 20,36,82
2021-02-24 21,710,86
2021-02-25 00,0,57
2021-02-25 01,0,56
2021-02-25 05,0,60
2021-02-25 09,20,92
2021-02-25 12,28,76
2021-02-25 20,42,88
2021-02-26 01,0,57
2021-02-26 03,0,60
2021-02-26 06,59,73
2021-02-26 07,1165,96
2021-02-26 08,1850,118
2021-02-26 11,1663,101
2021-02-26 13,2384,101
2021-02-26 14,337,86
2021-02-26 17,2170,94
2021-02-26 19,162,89
2021-02-26 22,483,77
2021-02-26 23,28,62
2021-02-27 00,0,58
2021-02-27 01,23,55
2021-02-27 03,0,53
2021-02-27 04,0,58
2021-02-27 05,0,57
2021-02-27 09,826,88
2021-02-27 16,8,79
2021-02-27 20,30,70
2021-02-28 01,0,54
2021-02-28 03,0,53
2021-02-28 06,175,68
2021-02-28 08,60,66
2021-02-28 12,898,86
2021-02-28 16,822,74
2021-02-28 17,294,86
2021-02-28 21,200,68
2021-02-28 22,0,60
2021-02-28 23,0,53
2021-03-01 02,0,51
2021-03-01 03,7,53
2021-03-01 04,0,57
2021-03-01 06,0,53
2021-03-01 08,93,74
2021-03-01 10,61,71
2021-03-01 11,279,74
2021-03-01 12,193,76
2021-03-01 14,860,92
2021-03-01 16,7,72
2021-03-01 18,1484,85
2021-03-01 19,28,77
2021-03-01 20,0,70
2021-03-01 21,765,72
2021-03-01 22,36,57
2021-03-02 00,0,52
2021-03-02 01,0,52
2021-03-02 04,0,52
2021-03-02 06,29,57
2021-03-02 10,15,73
2021-03-02 12,48,74
2021-03-02 13,623,85
2021-03-02 14,27,77
2021-03-02 15,360,77
2021-03-02 17,1554,81
2021-03-02 21,650,74
2021-03-02 23,0,54
2021-03-04 00,12,54
2021-03-04 01,5,57
2021-03-04 05,0,55
2021-03-04 06,87,59
2021-03-04 09,773,84
2021-03-04 16,564,76
2021-03-04 17,592,81
2021-03-04 18,1167,87
2021-03-04 19,299,77
2021-03-04 20,489,84
2021-03-04 21,731,82
2021-03-04 23,0,53
2021-03-05 01,0,54
2021-03-05 03,18,57
2021-03-05 04,34,63
2021-03-05 06,208,77
2021-03-05 10,732,99
2021-03-05 11,1637,92
2021-03-05 12,1359,99
2021-03-05 13,1385,96
2021-03-05 14,37,88
2021-03-05 15,1201,90
2021-03-05 18,250,90
2021-03-05 19,6,103
2021-03-06 02,16,63
2021-03-06 12,292,75
2021-03-06 15,78,73
2021-03-07 00,0,60
2021-03-07 05,48,60
2021-03-07 08,46,69
2021-03-07 10,490,77
2021-03-07 11,89,75
2021-03-07 21,41,61
2021-03-07 23,6,56
2021-03-14 05,0,56
2021-03-14 09,68,82
2021-03-14 13,2253,90
2021-03-14 15,2263,92
2021-03-15 02,19,52
2021-03-15 05,0,52
2021-03-15 06,55,58
2021-03-15 09,495,80
2021-03-15 12,684,93
2021-03-15 16,43,74
2021-03-15 18,44,75
2021-03-15 19,1163,85
2021-03-15 21,532,72
2021-03-15 22,93,60
2021-03-16 00,0,52
2021-03-16 04,18,54
2021-03-16 06,0,58
2021-03-16 09,34,72
2021-03-16 10,40,68
2021-03-16 11,58,69
2021-03-16 14,175,80
2021-03-16 18,17,77
2021-03-16 20,39,73
2021-03-16 21,856,76
2021-03-17 00,0,51
2021-03-17 04,0,51
2021-03-17 05,0,50
2021-03-17 06,222,65
2021-03-17 07,1686,98
2021-03-17 08,1156,94
2021-03-17 09,15,79
2021-03-17 10,20,79
2021-03-17 14,159,81
2021-03-17 17,540,80
2021-03-17 18,232,77
2021-03-17 19,547,83
2021-03-17 23,0,52
2021-03-18 05,0,55
2021-03-18 06,194,67
2021-03-18 11,39,66
2021-03-18 12,15,66
2021-03-18 13,644,85
2021-03-18 14,30,75
2021-03-18 15,7,72
2021-03-18 16,26,69
2021-03-18 20,636,80
2021-03-18 23,0,53
2021-03-19 01,7,49
2021-03-19 02,14,52
2021-03-19 04,0,53
2021-03-19 07,280,76
2021-03-19 08,1169,96
2021-03-19 09,297,88
2021-03-19 10,34,77
2021-03-19 12,210,78
2021-03-19 13,278,89
2021-03-19 14,117,88
2021-03-19 15,225,82
2021-03-19 16,44,81
2021-03-19 17,599,80
2021-03-19 18,1884,87
2021-03-19 19,40,81
2021-03-19 20,38,72
2021-03-19 21,0,63
2021-03-19 22,22,59
2021-03-19 23,0,57
2021-03-20 02,58,58
2021-03-20 08,8,68
2021-03-20 09,32,75
2021-03-20 13,160,69
2021-03-20 14,281,74
2021-03-20 15,940,80
2021-03-20 17,412,83
2021-03-20 18,859,82
2021-03-20 20,123,69
2021-03-20 22,649,72
2021-03-21 02,17,56
2021-03-21 03,0,54
2021-03-21 10,35,69
2021-03-21 13,52,63
2021-03-21 15,48,72
2021-03-21 16,12,71
2021-03-21 18,126,70
2021-03-21 21,37,60
2021-03-21 22,0,55
2021-03-21 23,0,54
2021-03-06 18,76,92
2021-03-06 20,28,87
2021-03-08 01,0,52
2021-03-08 02,28,51
2021-03-08 03,0,50
2021-03-08 04,33,60
2021-03-08 06,139,72
2021-03-08 07,2171,101
2021-03-08 08,279,97
2021-03-08 09,417,89
2021-03-08 10,529,90
2021-03-08 12,1238,90
2021-03-08 17,32,74
2021-03-08 18,398,81
2021-03-09 00,17,52
2021-03-09 01,9,53
2021-03-09 02,7,52
2021-03-09 03,0,57
2021-03-09 05,0,56
2021-03-09 10,32,68
2021-03-09 11,28,68
2021-03-09 12,34,68
2021-03-09 14,258,75
2021-03-09 18,318,83
2021-03-09 21,334,78
2021-03-09 22,355,67
2021-03-09 23,0,57
2021-03-10 01,0,52
2021-03-10 05,0,56
2021-03-10 06,77,70
2021-03-10 07,2407,93
2021-03-10 08,1180,95
2021-03-10 10,19,72
2021-03-10 13,1125,86
2021-03-11 06,490,81
2021-03-11 07,37,67
2021-03-11 11,58,72
2021-03-11 16,597,79
2021-03-11 21,686,70
2021-03-11 22,62,63
2021-03-11 23,0,54
2021-03-12 00,0,53
2021-03-12 01,0,52
2021-03-12 02,0,53
2021-03-12 03,0,56
2021-03-12 04,0,54
2021-03-12 05,5,56
2021-03-12 07,0,82
2021-03-12 09,354,87
2021-03-12 10,472,84
2021-03-12 11,2145,88
2021-03-12 12,230,91
2021-03-12 13,1082,87
2021-03-12 14,1592,96
2021-03-12 15,395,95
2021-03-12 16,0,78
2021-03-12 17,425,82
2021-03-13 07,120,71
2021-03-13 11,0,66
2021-03-13 14,43,74
2021-03-13 17,19,69
2021-03-13 21,127,67
2021-03-22 02,0,49
2021-03-22 04,0,52
2021-03-22 05,18,55
2021-03-22 07,1541,96
2021-03-22 11,536,75
2021-03-22 15,17,81
2021-03-22 19,31,84
2021-03-22 20,1267,89
2021-03-22 22,63,74
2021-03-22 23,56,66
2021-03-23 01,7,54
2021-03-23 03,0,52
2021-03-23 06,220,66
2021-03-23 07,1180,88
2021-03-23 11,83,71
2021-03-23 14,5,74
2021-03-23 16,1185,80
2021-03-23 18,1297,87
2021-03-23 19,95,74
2021-03-23 21,322,75
2021-03-23 22,535,74
2021-03-24 00,0,52
2021-03-24 04,0,51
2021-03-24 07,331,84
2021-03-24 08,853,90
2021-03-24 09,286,81
2021-03-24 13,699,86
2021-03-24 15,326,77
2021-03-24 16,573,77
2021-03-24 17,527,77
2021-03-24 18,140,80
2021-03-24 21,531,75
2021-03-25 00,6,54
2021-03-25 01,0,54
2021-03-25 06,1828,102
2021-03-25 11,55,72
2021-03-25 12,32,72
2021-03-25 13,575,85
2021-03-25 17,562,76
2021-03-25 18,608,82
2021-03-25 20,0,65
2021-03-25 23,11,56
2021-03-26 00,0,54
2021-03-26 01,0,52
2021-03-26 02,0,57
2021-03-26 03,172,57
2021-03-26 06,13,65
2021-03-26 09,386,81
2021-03-26 12,1000,93
2021-03-26 16,534,82
2021-03-26 18,1459,84
2021-03-26 19,327,86
2021-03-27 04,0,54
2021-03-27 08,1104,90
2021-03-27 17,144,80
2021-03-27 19,0,77
2021-03-27 23,8,61
2021-03-28 06,0,55
2021-03-28 09,73,73
2021-03-28 10,342,89
2021-03-28 14,824,87
2021-03-28 16,74,82
2021-03-28 17,60,80
2021-03-28 18,494,82
2021-03-28 23,73,67
2021-03-29 00,0,61
2021-03-29 02,0,55
2021-03-29 04,13,53
2021-03-29 05,106,71
2021-03-29 06,303,71
2021-03-29 07,1514,107
2021-03-29 09,369,80
2021-03-29 11,6,72
2021-03-29 14,56,83
2021-03-29 16,31,76
2021-03-29 18,26,72
2021-03-29 19,84,70
2021-03-29 20,839,76
2021-03-29 22,55,58
2021-03-29 23,0,55
2021-03-30 00,0,54
2021-03-30 03,0,57
2021-03-30 07,1136,90
2021-03-30 08,725,95
2021-03-30 09,249,79
2021-03-30 11,66,72
2021-03-30 13,892,83
2021-03-30 14,18,79
2021-03-30 15,799,80
2021-03-30 16,423,72
2021-03-30 17,381,70
2021-03-30 18,662,79
2021-03-30 19,354,85
2021-03-30 20,0,78
2021-03-30 21,435,79
2021-03-30 22,464,77
2021-03-31 00,0,57
2021-03-31 01,0,55
2021-03-31 02,0,54
2021-03-31 06,50,62
2021-03-31 07,486,79
2021-03-31 09,15,77
2021-03-31 10,25,72
2021-03-31 15,523,83
2021-03-31 16,0,72
2021-03-31 17,13,73
2021-03-31 18,18,83
2021-03-31 22,674,85
2021-04-01 00,0,63
2021-04-01 01,0,60
2021-04-01 02,0,56
2021-04-01 03,7,56
2021-04-01 04,0,54
2021-04-01 05,0,56
2021-04-01 07,597,100
2021-04-01 08,756,88
2021-04-01 09,25,77
2021-04-01 10,41,75
2021-04-01 11,37,75
2021-04-01 14,161,85
2021-04-01 18,1929,99
2021-04-01 20,2175,106
2021-04-01 21,1141,96
2021-04-01 23,0,71
2021-04-02 00,272,74
2021-04-02 01,86,72
2021-04-02 03,0,61
2021-04-02 08,967,98
2021-04-02 10,371,76
2021-04-02 11,1612,78
2021-04-02 13,1189,81
2021-04-02 16,264,71
2021-04-02 17,377,77
2021-04-02 18,250,77
2021-04-02 22,0,56
2021-04-02 23,0,55
2021-04-03 03,7,48
2021-04-03 05,6,52
2021-04-03 07,85,68
2021-04-03 14,278,72
2021-04-03 22,10,70
2021-04-03 23,0,59
2021-04-04 03,5,51
2021-04-04 04,0,52
2021-04-04 06,251,69
