steps,bpm,state
0,65.01515,1
0,64.58182,1
0,61.93938333,1
0,63.98182,1
0,64.25756667,1
0,63.6,1
0,65.27273333,1
64,74.42182,2
194,79.11272,2
805,83.92726,2
0,76.13636667,2
0,71.76364,2
35,71.80303333,2
138,78.14542,2
0,73.59998,2
61,70.69696667,2
371,76.34544,2
1015,83.95455,2
28,65.85658,2
0,62.04545,1
0,68.36362,1
10,64.37878333,2
28,65.32726,2
20,63.63635,2
0,63.83636,1
0,64.02546,1
66,71.07576667,2
294,78.94544,2
56,70.0606,2
24,68.47274,2
261,71.60606667,2
35,102.59818,2
249,70,2
5928,119.6230667,3
253,92.07272,2
0,96,2
0,97,2
127,85.0606,2
49,76.52728,2
133,71.45453333,2
16,69.25452,2
0,74.97348333,2
0,76.09091667,2
0,68.6,1
15,67.9091,2
0,66.03636,1
0,64.71211667,1
24,70.21818,2
31,68.5,2
9,69.23636,2
362,74.35152,2
247,82.31818333,2
58,77.25454,2
625,82.74241667,2
3267,98.80006,2
2521,92.09092,2
940,91.25151667,2
2234,97.09092,2
3357,101.27285,3
3465,104.09082,3
593,102.8181667,2
281,102.76366,2
263,99.96968333,2
0,98.6667,2
9,75.78786667,2
0,80.87272,2
0,77.01513333,2
0,71.67274,2
10,71.59091667,2
0,70.4909,2
192,75.07575,2
0,69.96364,1
0,72.53028333,2
35,72.89092,2
65,73.65454,2
14,75.19696667,2
0,70.4,2
147,69.71215,2
60,91.197,2
0,69.19696667,1
0,63.23636,1
0,67.36363333,1
0,63.8909,1
0,59.42423333,1
0,60.8182,1
0,63.69698333,1
0,61.61818,1
0,64.0909,1
56,66.1818,2
33,62.30908,2
34,62.55151667,2
208,70.36362,2
208,85.60425,2
251,83.10001667,2
20,71.09092,2
7,68.33333333,2
6787,132.8072,3
0,107.1665,2
152,71.83636,2
96,70.06182,2
11,66.68181667,2
6,60.50908,2
5,65.9394,2
12,63.4909,2
0,61.60605,1
297,71.21818,2
425,75.85985,2
620,72.69695,2
214,72.58182,2
35,73.33333333,2
222,82.01818,2
1811,86.2576,2
2214,94.43638,2
1537,89.65456,2
1612,84.7,2
794,69.5091,2
135,72.1591,2
35,74.58724,2
146,76.71211667,2
270,79.44,2
80,71.20455,2
18,67.90908,2
0,65.19698333,1
0,62.5788,1
0,64.69695,1
0,62.32728,1
19,62.33333333,2
15,63.6,2
0,59.45455,1
0,59.36362,1
0,61.6818,1
23,68.38182,2
12,68.51516667,2
0,66.8182,1
394,82.0303,2
172,80.41558333,2
26,73.45454,2
9,70.86363333,2
217,71.34546,2
42,69.01816,2
120,64.65153333,2
734,81.52728,2
9,78.0909,2
0,65.18181667,1
0,62.25456,1
0,65.81818333,1
0,64.23636,1
0,64.92423333,1
0,61.70906,1
412,68.53031667,2
6,65.4182,2
19,64.1515,2
0,63.7273,1
178,72.901525,2
304,69.87878333,2
410,71,2
393,78.27273333,2
235,76.27274,2
1600,92.16368,2
528,87.13638333,2
245,74.14285,2
119,66.7091,2
57,67.73333333,2
0,59.27271667,1
0,61.83638,1
15,58.60606667,2
7,59.47272,2
0,57.80303333,1
0,61.14544,1
0,58.5,1
85,62.69092,2
0,64.39393333,1
13,63.87274,2
106,65.3091,2
52,69.38418333,2
60,75.1818,2
100,68.96362,2
0,66.75756667,1
2935,98.4801,2
2001,90.17968,2
508,78.01818,2
631,83.21818,2
30,73.51515,2
118,71.03636,2
0,67.25756667,1
17,67.51112,2
182,66.01515,2
17,60.05456,2
0,59.54543333,1
0,62.98182,1
0,65.4091,1
0,62.20002,1
0,63.87878333,1
0,63.25454,1
0,63.98485,1
34,64.65456,2
93,65.8,2
29,68.00606667,2
9,63.63456,2
40,63.45455,2
7,62.27272,2
0,61.63635,1
1583,92.78803333,2
4390,98.65454,2
69,81.19696667,2
4,82.5,2
59,82.375,2
8,64.15151667,2
16,63.12728,2
0,65.27273333,1
0,63.58182,1
0,61.5909,1
0,63.7091,1
211,67.63635,2
51,65.36364,2
19,67.59091667,2
0,64.37274,1
0,62.47274,1
4,65.25758333,2
7,65.49092,2
0,67.42425,1
254,68.58182,2
129,66.89395,2
0,63.78182,1
19,61.77273333,2
23,63.43183333,2
3005,110.6973333,3
1570,95.027275,2
39,74.87876667,2
15,66.49452,2
60,64.34846667,2
21,61.65454,2
0,62.46968333,1
0,62.21818,1
0,60.5,1
0,59.21818,1
0,63.16666667,1
0,63.83638,1
32,68.22728333,2
0,67.4909,1
30,65.8182,2
0,64.6515,1
91,66.54355,2
1922,101.7271667,3
4840,122.07766,3
0,80,2
63,78.3636,2
47,67.92423333,2
71,65.71516,2
0,66.31818333,1
0,66.34546,1
0,63.39396667,1
0,63.4182,1
51,65.21211667,2
0,66.38182,1
0,63.25758333,1
0,64.56364,1
55,66.43636,2
0,66.81818333,1
0,65.25456,1
4,63.80305,2
548,68.83634,2
820,80.30756667,2
246,76.3818,2
182,72.86365,2
41,71.67274,2
68,72.40908333,2
19,72.75636,2
376,73.90908,2
79,70.0303,2
40,67.787125,2
0,66.62121667,1
22,64.27818,2
17,65.16666667,2
4,67.8909,2
0,65.51515,1
0,65.38182,1
0,58.37878333,1
10,58.76364,2
218,66.09546667,2
11,65.4182,2
0,63.568175,1
0,82,2
661,80.3091,2
12,65.83333333,2
307,67.00002,2
620,69.04376667,2
88,63.8909,2
1554,79.89393333,2
4998,108.4462,3
0,70.30908,2
15,66.89395,2
0,62.1818,1
0,60.84848333,1
0,62.05658,1
8,63.71211667,2
19,63.90908,2
0,63.48485,1
0,58.81816,1
0,56.45455,1
15,59.27272,2
96,63.18181667,2
0,62.23634,1
635,68.78788333,2
31,69.05454,2
0,71.84364,2
14,69.24243333,2
0,60.4,1
38,64.81818,2
212,72.204525,2
641,67.2909,2
798,81.07423333,2
116,73.90908,2
33,74.0606,2
1312,84.56368,2
262,76.60608333,2
162,67.8,2
0,61.16666667,1
7,62.95636,2
0,66.78788333,1
0,61.59998,1
0,61.86365,1
7,63.52726,2
25,65.71211667,2
0,64.03636,1
143,68.342,2
77,79.8182,2
123,70.1818,2
188,68.46546,2
0,64.52525,1
8,68.7273,2
210,72.80303333,2
5964,101.29086,3
86,73.45456667,2
29,65.70606,2
16,61.13636667,2
0,63.89092,1
0,66.28788333,1
0,64.16362,1
7,63.5909,2
0,65.96362,1
0,63.15153333,1
0,65.14544,1
152,70.24241667,2
445,72.34546,2
354,81.5818,2
125,74.51513333,2
29,71.23636,2
0,71.66668333,2
1858,89.92726,2
